Colegios,Localidad
CP Concepción Arenal (Villareal),
CEIP Els Garrofers (Elx),
CP Hispanidad (Elx),
CP Nuestra Señora De La Asunción (Vinaròs),
CP Sanchís Guarner (Ondara),
CP Virgen de la Asunción (Elx),
CPFA (antiguo CP El Serafico, Elda),
CIPFP Faitanar (Quart de Poblet),
CIPFP La Costera (Xàtiva),
CIPFP Vicente Blasco Ibáñez (València),
Conservatori Profesional (Elx),
CP Alborxí (Alzira),
CP Alfadalí (Oliva),
CP Antonio Machado (Elx - Torrellano),
CP Antonio Sequeros (Benejúzar),
CP Argentina (Benferri),
CP Ausiàs March (Alzira),
CP Azorín (Alacant),
CP Azorín (Santa Pola),
CP Baix Vinalopó (Elx),
CP Benimamet (València),
CP Bonavista (Alaquàs),
CP Canales y Martínez (Almoradí),
CP Cardenal Belluga (Crevillent - San Felipe),
CEIP Carles Salvador (València),
CP Casablanca (Elx),
CP Cervantes (Monòvar),
CP Cervantes (Alboraia),
CP Ciudad Artista Fallero (València),
CP Cristóbal Colón (Sax),
CP Dama d'Elx (Elx),
CP Doctor López Rosat (València),
CP de Educación Especial Tamarit (Elx),
CP El Barranquet (Godella),
CP El Moralet (Alacant),
CP El Toscar (Elx),
CP Emilio Valera (Alacant),
CP Evaristo Calatayud (Montserrat),
CP Félix Rodríguez de la Fuente (Manises),
CP Fernando de Loaces (Oriola),
CP Gabriel Miró (Alacant),
CP Giner de los Ríos (Elx),
CP Gloria Fuertes (Alacant),
CP Inmaculada Concepción (Torrevieja),
CP Jaume I (Elx),
CP Jaume I (Alcàsser),
CP Jaume I El Conqueridor (Catarroja),
CP Jaume I (Mislata),
CP Joanot Martorell (Xeraco),
CP Joaquín María López (Alacant),
CP José Carlos Aguilera (Alacant),
CP Ferrández Cruz (Elx),
CP José María Paternina (Daya Nueva),
CP Juan Carlos I (Formentera del Segura),
CP Juan Lacomba Guillot (Xella),
CP Julio María López Orozco (Elx),
CP La Galia (Elx - Altabix),
CP La Marina (Elx - La Marina),
CP La Paz (Bigastro),
CP La Paz (Bigastro),
CP La Paz (Callosa del Segura),
CP León Felipe (Elx),
CP Les Comes (L'Alcúdia),
CP L'Horta (Paiporta),
CP Lluis Guarner (València),
CP Luís Cernuda (Elx),
CP Luís Chorro (Elx),
CP Luís Vives (Elx),
CP Lluis Vives (Alzira),
CP Lluís Vives (Oliva),
CP Maestro Ismael García (Oriola, La Murada),
CP Magisterio Español (València),
CP Manuel de Torres (Almoradí),
CP Manuel González Martí (València),
CP Manuel Sanchís Guarner (L'Olleria),
CP Doctor Francisco Mas Magro (Crevillent),
CP Menéndez Pelayo (Elx),
CP Mestre Canaletes (Elx - Perleta),
CP Narciso Merino (Elx, Las Bayas),
CP Miguel de Cervantes (Algorfa),
CP Miguel de Unamuno (Elx),
CP Miguel Hernández (Crevillent),
CP Miguel Hernández (Elx),
CP Nº 54 (Alacant),
CP Ntra. Sra. de los Desamparados (Burjassot),
CP Nuestra Señora del Carmen (València),
CP Nuestra Señora de Monserrate (Oriola - Molins),
CP Orba (Alfafar),
CP Padre Jumilla (Càrcer),
CP Párroco Francisco Más (Crevillent),
CP Príncipe Don Juan Manuel (Villena),
CP Profesor Sanchís Guarner (València),
CP Rafael Altamira (Alacant),
CP Rafael Altamira (Callosa del Segura),
CP Ramón Laporta (Quart de Poblet),
CP Ramón Llull (Elx),
CP Raquel Payá (València),
CP Ribalta (Algemesí),
CP Rincón de Bonanza (Oriola - Bonanza),
CP Rodolfo Tomás Samper (Elx - L'Altet),
CP San Antonio (Elx - La Hoya),
CP San Bartolomé (Oriola - San Bartolomé),
CP San Blas (Albal),
CP San Clemente (Sedaví),
CP San Fernando (Elx),
CP San Francisco de Asís (Dolores),
CP San Jaime (Benijòfar),
CP San José de Calasanz (Elx),
CP San José de Calasanz (València),
CP San Juan de Ribera (Alfara del Patriarca),
CP San Nicolás de Bari (Alacant),
CP San Roque (Callosa del Segura),
CP San Sebastián (Rocafort),
CP Sanchís Guarner (Elx),
CP Sant Pasqual (Torrent),
CP Severi Torres (Villanueva de Castellón),
CP Sierra de Mariola (Alacant),
CP Pintor Teodoro Andreu (Alzira),
CP Tirant lo Blanc (Alzira),
CP Valverde Bajo (Elx - Valverde),
CP Vicente Blasco Ibáñex (Elx),
CP Vicente Blasco Ibáñez (Montesa),
CP Vicente Blasco Ibáñez (València),
CP Vicente Nicolau Balaguer (Manises),
CP Víctor Pradera (Elx),
CP Villar Palasí (Oriola),
CP Villar Palasí (Sagunt),
CP Villar Palasí (València),
CP Virgen de Belén (Jacarilla),
CP Virgen de las Virtudes (Cox),
CP Virgen de los Desamparados (Oliva),
CP Virgen de los Dolores (Dolores),
CP Virgen del Carmen (Cox),
CP Virgen del Milagro (Rafelbunyol),
CP Virgen del Rosario (Albatera),
CP Virgen del Rosario (Massamagrell),
CRA Alt Carraixet (Olocau),
CRA L'Aiguaneu (Torre d'En Besora),
Escuela de Arte y Superior y Diseño (Oriola),
IES Antonio José Cavanilles (Alacant),
IES Bernat Guinovart (Alagemesí),
IES Campanar (València),
IES Camp de Turia (Llíria),
IES José María Parra (Alzira),
IES La Asunción (Elx),
IES La Torreta (Elx),
IES Las Lagunas (Torrevieja),
IEs Pedro Ibarra Ruiz (Elx),
IES Ramón Cid (Benicarló),
IES Rei En Jaume (Alzira),
IES Santiago Grisolía (Callosa del Segura),
IES Tirant Lo Blanc (Gandia),
IES Vega Baja (Callosa del Segura),
EI Virgen de Monserrate (Oriola),
CP El Palmeral (Elx),
